route_id,longitude,latitude,altitude,timestamp
0,534483.1111425364,3953512.766570973,1297.2146,1622977245876
0,534453.3210149758,3953454.686763855,1295.839,1622977248966
4,534333.7591709782,3953235.9061310063,1308.852,1622977259806
4,534314.9225259688,3953199.870173167,1283.6456,1622977261816
4,534298.4942933888,3953165.535947191,1277.8235,1622977263884
5,534276.952773326,3953115.1043841774,1277.7103,1622977266841
5,534260.5666943277,3953069.7699218844,1303.7783,1622977269829
5,534252.0522453929,3953040.9665824943,1274.9889,1622977271871
5,534239.4480804831,3952999.0315240505,1310.1083,1622977274815
5,534232.9873110943,3952974.467081845,1297.7719,1622977276872
7,534209.9187533343,3952872.4122098736,1267.0363,1622977282829
7,534200.8035445916,3952820.336387091,1267.5471,1622977285837
8,534551.0896752083,3953509.646207865,1307.4448,1622977687412
8,534540.6210520391,3953540.068347551,1301.8093,1622977692412
9,534555.7012600255,3953654.362912325,1305.0753,1622978310760
9,534535.8462508589,3953614.5146152033,1303.6332,1622978312760
9,534516.6711862185,3953577.2075859564,1303.5977,1622978314772
9,534497.4959584231,3953539.9006014387,1301.1489,1622978316778
10,534468.7311675369,3953484.3632977926,1296.2091,1622978319766
10,534459.4867313482,3953466.1342847156,1297.7935,1622978320764
10,534430.3797349174,3953409.74959707,1296.6733,1622978323770
10,534397.8272040456,3953352.0823722337,1294.2377,1622978326771
11,534365.2742457703,3953294.4152749474,1291.7614,1622978329770
11,534354.6526261219,3953275.3348575635,1290.8263,1622978330769
12,534322.8022158939,3953214.285885372,1288.1149,1622978333763
12,534302.9402464697,3953175.707417936,1286.8081,1622978335767
12,534285.156372089,3953135.021549706,1286.6348,1622978338573
13,534262.9540617241,3953076.971757171,1284.0243,1622978341564
13,534251.3752666932,3953037.5792080685,1282.8676,1622978343573
13,534230.9481768996,3952966.4204089125,1279.933,1622978347586
14,534218.0444455075,3952912.637568379,1278.0707,1622978350576
14,534214.3160343643,3952895.2762952605,1275.8733,1622978351563
14,534204.1755755974,3952840.6579442993,1272.0779,1622978354574
15,534553.6461089705,3953650.5470475308,1304.0537,1622976355982
15,534527.2855039792,3953597.980568577,1300.7476,1622976359011
16,534500.2345817456,3953545.411491907,1299.3138,1622976361994
16,534464.6223514117,3953476.308522835,1295.7273,1622976366011
18,534409.8221045515,3953372.860552183,1292.88,1622976371985
18,534379.3246082874,3953319.0092288307,1292.0302,1622976374998
20,534329.6501145896,3953227.851423314,1289.0256,1622976379991
20,534310.4716923381,3953190.9679630147,1287.1508,1622976382000
20,534301.9150129054,3953173.164883374,1286.5773,1622976382983
20,534284.811355666,3953135.0202169563,1285.4513,1622976384991
21,534250.3516344957,3953034.613591275,1282.5123,1622976390280
21,534239.7914700739,3952999.455943917,1281.2141,1622976392795
21,534235.0280733561,3952982.0906664627,1281.2141,1622976393822
21,534224.8258574097,3952943.5496603167,1279.7928,1622976396256
21,534215.3348026744,3952899.5111736213,1278.2263,1622976398738
21,534207.2074548503,3952859.7089073937,1278.3344,1622976401251
21,534200.7953938358,3952822.451831088,1276.646,1622976403828
22,534222.6170140682,3952800.5349916657,1267.2156,1622972825119
22,534229.002896798,3952844.56150414,1284.5312,1622972827621
22,534230.352007659,3952852.605513816,1284.5312,1622972828134
22,534240.1978598675,3952894.106811469,1294.0967,1622972830616
22,534257.2140108157,3952955.0981731117,1268.1025,1622972834639
22,534273.9159418994,3953008.049552686,1291.0309,1622972838089
22,534276.3033158701,3953015.2513908544,1291.0309,1622972838569
22,534287.2214112846,3953047.025704844,1284.245,1622972841088
22,534302.928808451,3953089.39592569,1288.9806,1622972844088
22,534318.9957930162,3953127.959711078,1285.9053,1622972847068
22,534329.5898500592,3953154.2325931885,1281.48,1622972849119
23,534349.4157301182,3953202.1190789063,1294.3439,1622972852100
23,534370.9926686041,3953243.2428688523,1287.4636,1622972854584
23,534385.376635494,3953270.799789901,1306.423,1622972856602
23,534400.1022423032,3953299.204251607,1293.4967,1622972859803
23,534422.020430959,3953341.175690744,1316.9613,1622972862303
23,534444.621855214,3953384.842223024,1273.8944,1622972865282
23,534459.3470787279,3953413.2467907183,1301.915,1622972867303
23,534484.6867907643,3953462.4243102446,1301.0258,1622972870758
23,534505.9108724728,3953505.2394702067,1305.0209,1622972873259
23,534526.7946846273,3953546.78407499,1290.2045,1622972875756
23,534546.6498904204,3953586.6323463707,1292.9741,1622972878258
26,532464.9944574529,3952900.129296706,1257.4707,1622973283940
26,532495.5684782867,3952936.6272798674,1256.2594,1622973285944
28,532598.2845838972,3953058.4319978044,1265.2383,1622973292941
28,532628.1721379033,3953093.658653652,1266.6538,1622973294941
28,532657.7128807724,3953129.3072329215,1265.3193,1622973296942
30,532731.2389666402,3953212.9277001196,1265.3328,1622973301941
30,532760.0998041165,3953245.6124657253,1266.1293,1622973303948
31,532793.4252408148,3953283.814054811,1268.5475,1622973306947
31,532819.5349329911,3953313.950288988,1271.9395,1622973309440
31,532838.4290258329,3953336.021102455,1272.6213,1622973311442
31,532885.1510393389,3953389.927133785,1278.3528,1622973315945
31,532912.6354181604,3953421.3380317735,1280.2837,1622973318445
31,532959.3565284766,3953475.24446709,1282.9111,1622973322440
31,532983.7463715875,3953503.682438488,1284.6003,1622973324440
31,533013.9774589848,3953538.488631836,1284.601,1622973326949
31,533045.5820025583,3953574.992426684,1290.2826,1622973329445
